Bernieria madagascariensis
Chloris chloris
Chloris sinica
Oenanthe albifrons
Hesperoburhinus bistriatus
Hesperoburhinus superciliaris
Corypha athi
Corypha hypermetra
Corypha apiata
Corypha fasciolata
Neophilydor
Driophlox fuscicauda
Driophlox atrimaxillaris
Driophlox cristata
Pachyglossa melanozantha
Pachyglossa vincens
Pachyglossa chrysorrhea
Pachyglossa agilis
Protopelma chrysolophum
Holochilus
Glyphonycterinae
Thomasomyini
Rhizomyinae
Praomyini
Balionycterini
Cephalophorus weynsi
Cephalophorus rufilatus
Cephalophorus nigrifrons
Cephalophorus natalensis
Cephalophorus kivuensis
Cephalophorus harveyi
Aethalodelphis obliquidens
Aethalodelphis obscurus
Andinocervus rufinus
Paratelmatobiinae
Blaira ornata
Beduka amboli
Serranobatrachus sanctaemartae
Serranobatrachus megalops
Serranobatrachus insignitus
Grillitschia longipes
Grillitschia aceras
Amnihyla
Carichyla bicolor
Chlorohyla bella
Chlorohyla chloris
Chlorohyla gracilenta
Chlorohyla xanthomera
Eremnoculus dayi
Megatestis dahlii
Rhyaconastes jungguy
Rhyaconastes lesueuri
Rhyaconastes wilcoxii
Spicicalyx serrata
Sylvagemma brevipalmata
Coronella austriaca
Grayia
Woodworthia southern alps
Woodworthia central otago
Woodworthia otago southland large
Diploderma polygonatum
Galvarinus chilensis
Dibernardia affinis
Adelphostigma occipitalis
Sahyadriophis beddomei
Cantoris
Elaiophis inornatus
Chaetostoma
Jenkinsia
Myersina
Orestias
Schizodon
Symphysodon
Histrio histrio
Centropogon australis
Amblyopinae
Histiophryninae
Heptapterinae
Cepolinae
Oncorhynchus lewisi
Peristediinae
Coris melanura
Ceratioidei
Auchenoglanididae
Lugubria lenticulata
Saxatilia lepidota
Neochirus brachyptera
Neochirus barberi
Neochirus hemprichi
Landoninae
Filistriatus sexfilis
Disymphia molitorella
